timestamp,BTC,ETH,SOL,XRP
2021-05-13,49670.97,3717.91,41.049,1.364
2021-05-14,49841.45,4075.01,42.7,1.4
2021-05-15,46762.99,3646.68,43.486,1.4904
2021-05-16,46431.5,3582.1,46.85,1.4496
2021-05-17,43538.04,3282.51,46.708,1.4946
2021-05-18,42849.78,3375.07,55.977,1.5889
2021-05-19,36690.09,2438.92,34.988,1.0568
2021-05-20,40526.64,2768.62,44.42,1.1795
2021-05-21,37252.01,2430.98,38.925,1.0062
2021-05-22,37449.73,2294.87,31.222,0.9052
2021-05-23,34655.25,2096.39,24.536,0.7898
2021-05-24,38796.29,2648.43,31.416,0.993
2021-05-25,38324.72,2705.11,29.973,0.9746
2021-05-26,39241.91,2884.94,35.43,1.0316
2021-05-27,38529.98,2742.23,33.747,0.9747
2021-05-28,35663.49,2412.1,28.989,0.8985
2021-05-29,34605.15,2278.74,27.388,0.8318
2021-05-30,35641.27,2385.98,28.588,0.9058
2021-05-31,37253.81,2706.15,32.75,1.0409
2021-06-01,36693.09,2634.57,30.938,1.0108
2021-06-02,37568.68,2706.22,33.994,1.0241
2021-06-03,39246.79,2857.25,39.602,1.045
2021-06-04,36829.0,2689.51,37.338,0.9683
2021-06-05,35513.2,2627.73,39.633,0.923
2021-06-06,35796.31,2711.92,42.205,0.947
2021-06-07,33552.79,2592.05,38.235,0.8618
2021-06-08,33380.81,2507.23,41.245,0.8731
2021-06-09,37388.05,2610.18,42.032,0.9218
2021-06-10,36675.72,2471.09,41.105,0.8686
2021-06-11,37331.98,2354.01,36.157,0.8471
2021-06-12,35546.11,2370.74,36.476,0.8326
2021-06-13,39020.57,2509.33,38.706,0.8832
2021-06-14,40516.29,2580.77,39.694,0.8906
2021-06-15,40144.04,2543.54,39.536,0.8663
2021-06-16,38349.01,2367.89,39.728,0.832
2021-06-17,38092.97,2373.28,39.265,0.8419
2021-06-18,35819.84,2234.09,36.82,0.7972
2021-06-19,35483.72,2164.67,35.19,0.7582
2021-06-20,35600.16,2243.47,35.257,0.7741
2021-06-21,31608.93,1885.49,26.59,0.6067
2021-06-22,32509.56,1879.28,26.958,0.5468
2021-06-23,33678.07,1968.14,30.837,0.6383
2021-06-24,34663.09,1989.52,31.141,0.6731
2021-06-25,31584.45,1808.82,28.641,0.6111
2021-06-26,32283.65,1829.64,29.698,0.6162
2021-06-27,34700.34,1982.28,31.897,0.6484
2021-06-28,34494.89,2084.41,33.001,0.6444
2021-06-29,35911.73,2165.33,33.97,0.7063
2021-06-30,35045.0,2275.68,35.51,0.7063
2021-07-01,33504.69,2106.41,33.271,0.6591
2021-07-02,33786.55,2154.13,34.0,0.6556
2021-07-03,34669.13,2226.99,34.498,0.6732
2021-07-04,35286.51,2322.69,34.28,0.696
2021-07-05,33690.14,2196.53,32.908,0.6526
2021-07-06,34220.01,2322.5,34.226,0.6648
2021-07-07,33862.12,2316.57,36.673,0.6522
2021-07-08,32875.71,2116.33,33.142,0.6215
2021-07-09,33815.81,2146.99,33.315,0.6369
2021-07-10,33502.87,2110.69,31.693,0.6246
2021-07-11,34258.99,2140.45,32.182,0.6364
2021-07-12,33086.63,2031.58,30.77,0.6288
2021-07-13,32729.77,1940.15,29.136,0.6192
2021-07-14,32820.02,1994.58,31.365,0.6197
2021-07-15,31880.0,1919.51,28.545,0.5979
2021-07-16,31383.87,1876.26,26.271,0.5893
2021-07-17,31520.07,1899.59,26.802,0.5821
2021-07-18,31778.56,1891.64,26.673,0.5866
2021-07-19,30839.65,1818.73,24.509,0.557
2021-07-20,29790.35,1786.03,23.474,0.5284
2021-07-21,32144.51,1995.5,26.7,0.5719
2021-07-22,32287.83,2024.56,27.699,0.592
2021-07-23,33634.09,2124.25,28.516,0.6091
2021-07-24,34258.14,2184.75,28.616,0.6085
2021-07-25,35381.02,2189.79,28.248,0.6069
2021-07-26,37237.6,2228.08,28.184,0.6234
2021-07-27,39457.87,2299.49,28.103,0.6451
2021-07-28,40019.56,2300.9,27.875,0.7327
2021-07-29,40016.48,2382.92,31.235,0.7488
2021-07-30,42206.37,2461.81,32.354,0.7521
2021-07-31,41461.83,2531.05,36.744,0.746
2021-08-01,39845.44,2555.69,34.165,0.7242
2021-08-02,39147.82,2606.93,33.167,0.738
2021-08-03,38207.05,2509.04,34.105,0.7136
2021-08-04,39723.18,2724.78,35.76,0.731
2021-08-05,40862.46,2826.99,37.353,0.7327
2021-08-06,42836.87,2891.58,39.525,0.7474
2021-08-07,44572.54,3160.31,39.469,0.8162
2021-08-08,43794.37,3011.85,37.65,0.7788
2021-08-09,46253.4,3160.52,38.646,0.817
2021-08-10,45584.99,3141.66,40.64,0.8511
2021-08-11,45511.0,3160.5,41.621,1.0105
2021-08-12,44399.0,3045.96,41.102,0.966
2021-08-13,47800.0,3322.32,44.83,1.0901
2021-08-14,47068.51,3263.16,44.14,1.2791
2021-08-15,46973.82,3307.09,53.531,1.2839
2021-08-16,45901.29,3146.53,62.016,1.1855
2021-08-17,44695.95,3011.72,64.123,1.0978
2021-08-18,44705.29,3014.55,72.663,1.1431
2021-08-19,46760.62,3184.12,72.764,1.2347
2021-08-20,49322.47,3284.82,78.643,1.2629
2021-08-21,48821.87,3223.43,73.801,1.2158
2021-08-22,49239.22,3238.0,72.775,1.226
2021-08-23,49488.85,3321.28,75.623,1.2457
2021-08-24,47674.01,3170.62,70.527,1.1353
2021-08-25,48973.32,3226.87,71.973,1.1735
2021-08-26,46843.87,3093.2,74.92,1.0712
2021-08-27,49069.9,3273.45,87.98,1.1918
2021-08-28,48895.35,3244.48,96.22,1.1459
2021-08-29,48767.83,3223.47,94.23,1.1408
2021-08-30,46982.91,3229.64,110.25,1.1002
2021-08-31,47100.89,3429.2,108.27,1.1856
2021-09-01,48810.52,3826.82,110.71,1.2362
2021-09-02,49246.64,3785.82,128.23,1.2533
2021-09-03,49999.14,3938.11,146.4,1.2907
2021-09-04,49915.64,3885.52,138.88,1.2548
2021-09-05,51756.88,3950.29,142.0,1.3076
2021-09-06,52663.9,3926.77,164.22,1.3894
2021-09-07,46863.73,3434.57,173.46,1.1292
2021-09-08,46048.31,3499.0,191.02,1.0998
2021-09-09,46395.14,3424.93,187.9,1.0868
2021-09-10,44850.91,3208.86,179.6,1.0552
2021-09-11,45173.69,3267.21,179.04,1.0787
2021-09-12,46025.24,3404.21,174.29,1.1181
2021-09-13,44940.73,3285.35,169.53,1.0643
2021-09-14,47111.52,3434.37,158.88,1.0963
2021-09-15,48121.41,3613.55,158.79,1.1207
2021-09-16,47737.82,3567.98,152.29,1.0902
2021-09-17,47299.98,3399.81,147.58,1.0661
2021-09-18,48292.74,3435.64,169.22,1.0751
2021-09-19,47241.75,3328.62,152.76,1.0483
2021-09-20,43015.62,2977.28,132.77,0.9216
2021-09-21,40734.38,2765.9,124.29,0.8743
2021-09-22,43543.61,3076.92,148.02,1.0033
2021-09-23,44865.26,3152.5,149.91,1.0016
2021-09-24,42810.57,2928.53,139.13,0.944
2021-09-25,42670.64,2921.73,136.06,0.94
2021-09-26,43160.9,3059.37,135.64,0.9436
2021-09-27,42147.35,2925.59,136.35,0.9218
2021-09-28,41026.54,2804.91,132.2,0.8928
2021-09-29,41524.28,2850.45,135.25,0.9268
2021-09-30,43824.1,3000.61,141.37,0.9533
2021-10-01,48141.61,3309.91,161.56,1.0422
2021-10-02,47634.9,3387.76,168.98,1.0359
2021-10-03,48200.01,3417.73,172.98,1.0552
2021-10-04,49224.94,3386.31,167.13,1.0425
2021-10-05,51471.99,3515.27,164.62,1.0839
2021-10-06,55315.0,3574.89,153.87,1.0765
2021-10-07,53785.22,3587.47,154.26,1.0678
2021-10-08,53951.43,3563.13,158.86,1.0636
2021-10-09,54949.72,3574.82,156.84,1.1604
2021-10-10,54659.0,3414.22,147.55,1.1352
2021-10-11,57471.35,3542.12,144.77,1.1364
2021-10-12,55996.93,3491.46,152.32,1.1018
2021-10-13,57367.0,3607.42,148.04,1.1275
2021-10-14,57347.94,3790.82,150.02,1.1336
2021-10-15,61672.42,3868.99,163.18,1.1413
2021-10-16,60875.57,3829.96,157.54,1.1343
2021-10-17,61528.33,3846.85,160.12,1.0944
2021-10-18,62009.84,3744.96,157.12,1.0827
2021-10-19,64280.59,3877.03,155.78,1.0911
2021-10-20,66001.41,4161.15,176.72,1.1455
2021-10-21,62193.15,4052.99,190.5,1.0886
2021-10-22,60688.22,3972.2,196.29,1.0885
2021-10-23,61286.75,4167.12,197.75,1.0934
2021-10-24,60852.22,4082.33,202.14,1.0821
2021-10-25,63078.78,4220.37,209.7,1.0951
2021-10-26,60328.81,4131.52,199.85,1.1075
2021-10-27,58413.44,3922.0,184.49,0.995
2021-10-28,60575.89,4286.02,195.42,1.0579
2021-10-29,62253.71,4418.89,200.41,1.0825
2021-10-30,61859.19,4322.68,195.7,1.0846
2021-10-31,61299.8,4287.21,202.49,1.1128
2021-11-01,60911.11,4319.43,203.9,1.0915
2021-11-02,63219.99,4589.89,220.82,1.1349
2021-11-03,62896.48,4603.35,243.37,1.2101
2021-11-04,61395.01,4532.32,247.07,1.2004
2021-11-05,60937.12,4474.24,236.06,1.1581
2021-11-06,61470.61,4518.0,258.44,1.151
2021-11-07,63273.59,4612.59,249.68,1.2198
2021-11-08,67525.83,4807.98,248.26,1.2815
2021-11-09,66947.66,4732.33,239.04,1.2571
2021-11-10,64882.43,4628.78,233.09,1.1902
2021-11-11,64774.26,4719.0,233.37,1.2142
2021-11-12,64122.23,4665.46,228.48,1.1883
2021-11-13,64380.0,4644.28,241.59,1.1892
2021-11-14,65519.1,4626.5,238.64,1.1879
2021-11-15,63606.74,4563.78,238.2,1.172
2021-11-16,60058.87,4209.76,219.04,1.0877
2021-11-17,60344.87,4287.8,218.94,1.0953
2021-11-18,56891.62,3996.9,195.01,1.0406
2021-11-19,58052.24,4294.76,215.25,1.0892
2021-11-20,59707.51,4412.17,217.63,1.0965
2021-11-21,58622.02,4258.31,230.51,1.0569
2021-11-22,56247.18,4085.97,215.59,1.0354
2021-11-23,57541.27,4339.44,221.75,1.0661
2021-11-24,57138.29,4269.36,205.7,1.0326
2021-11-25,58960.36,4524.85,209.97,1.0438
2021-11-26,53726.53,4041.2,192.42,0.9394
2021-11-27,54721.03,4095.29,192.74,0.9452
2021-11-28,57274.88,4294.78,200.69,0.9687
2021-11-29,57776.25,4444.53,204.09,0.9898
2021-11-30,56950.56,4630.26,208.53,0.9983
2021-12-01,57184.07,4582.95,229.81,0.9899
2021-12-02,56480.34,4511.21,233.6,0.9716
2021-12-03,53601.05,4215.73,211.65,0.9211
2021-12-04,49152.47,4117.25,200.67,0.8449
2021-12-05,49396.33,4196.44,196.43,0.8045
2021-12-06,50441.92,4347.59,193.56,0.8255
2021-12-07,50588.95,4306.4,190.19,0.8154
2021-12-08,50471.19,4436.91,194.61,0.8622
2021-12-09,47545.59,4105.64,181.11,0.8583
2021-12-10,47140.54,3897.94,167.39,0.7992
2021-12-11,49389.99,4089.37,172.15,0.8392
2021-12-12,50053.9,4130.0,172.8,0.8393
2021-12-13,46702.75,3781.93,155.21,0.7818
2021-12-14,48343.28,3858.99,161.26,0.8103
2021-12-15,48864.98,4019.08,178.52,0.8262
2021-12-16,47632.38,3958.11,176.86,0.8051
2021-12-17,46131.2,3875.42,175.51,0.7966
2021-12-18,46834.48,3959.93,182.78,0.8262
2021-12-19,46681.23,3924.14,179.93,0.835
2021-12-20,46914.16,3944.73,173.9,0.8798
2021-12-21,48889.88,4014.15,179.63,0.9467
2021-12-22,48588.16,3979.51,178.4,0.9537
2021-12-23,50838.81,4111.41,190.03,0.9941
2021-12-24,50820.0,4046.36,190.36,0.9115
2021-12-25,50399.66,4094.83,193.1,0.9252
2021-12-26,50775.49,4063.56,197.81,0.92
2021-12-27,50701.44,4037.23,195.67,0.9269
2021-12-28,47543.74,3792.75,177.32,0.8515
2021-12-29,46464.66,3630.19,170.63,0.8171
2021-12-30,47120.87,3709.27,172.52,0.8386
2021-12-31,46216.93,3676.23,169.99,0.8297
2022-01-01,47722.65,3765.54,179.06,0.8507
2022-01-02,47286.18,3828.27,176.35,0.8586
2022-01-03,46446.1,3765.89,170.15,0.8324
2022-01-04,45832.01,3785.11,167.72,0.8228
2022-01-05,43451.13,3540.63,154.52,0.7726
2022-01-06,43082.31,3406.81,150.26,0.7791
2022-01-07,41566.48,3199.24,136.45,0.7634
2022-01-08,41679.74,3080.95,142.14,0.7452
2022-01-09,41864.62,3151.97,140.82,0.753
2022-01-10,41822.49,3082.68,135.86,0.7399
2022-01-11,42729.29,3239.72,140.2,0.7703
2022-01-12,43902.66,3371.26,151.51,0.7987
2022-01-13,42560.11,3240.61,146.14,0.768
2022-01-14,43059.96,3307.42,146.17,0.7732
2022-01-15,43084.29,3326.04,147.64,0.7791
2022-01-16,43071.66,3346.88,147.98,0.7784
2022-01-17,42201.62,3209.67,139.8,0.7617
2022-01-18,42352.12,3159.85,141.22,0.7509
2022-01-19,41660.01,3084.02,135.25,0.7381
2022-01-20,40680.91,3001.48,127.54,0.7199
2022-01-21,36445.31,2568.15,112.27,0.6368
2022-01-22,35071.42,2412.18,94.54,0.5966
2022-01-23,36244.55,2539.01,99.78,0.6283
2022-01-24,36660.35,2439.29,91.93,0.6118
2022-01-25,36958.32,2458.83,94.67,0.618
2022-01-26,36809.34,2462.99,92.12,0.6193
